risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.024554507320169467,0.00030146191486812797,0.002306303183700009,0.0017843827482205699,0.002306303183700009,0.500774147688819,0.5003224532045079
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.7071201533416261,0.25000945563094246,0.002157458318538752,0.0015896700519696383,0.002157458318538752,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.707109315916892,0.25000179232822745,0.0021429952928668228,0.0015695743242372662,0.0021429952928668228,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.7071074922594064,0.2500005028046932,0.002137935682355374,0.001562488030681819,0.002137935682355374,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,0.7071070256082068,0.25000017283224263,0.002135640810730477,0.0015592621172110244,0.002135640810730477,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,0.7071068768595156,0.2500000676510091,0.002134449130938798,0.00155758602154199,0.002134449130938798,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,0.7071068222568578,0.25000002904109575,0.0021337743614299187,0.0015566388242700402,0.0021337743614299187,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,0.7071068000945675,0.25000001336998934,0.002133369675181296,0.0015560708444120608,0.002133369675181296,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,0.7071067903871041,0.250000006505776,0.002133115771676075,0.001555714717800416,0.002133115771676075,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,0.7071067858707353,0.25000000331222094,0.002132950720224014,0.0015554834490910663,0.002132950720224014,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,0.7071067836634208,0.2500000017514139,0.0021328402927504597,0.0015553289210376575,0.0021328402927504597,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,0.7071067825392561,0.25000000095650937,0.002132764618836991,0.0015552231905899827,0.002132764618836991,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,0.7071067819462727,0.25000000053720683,0.002132711694909084,0.001555149377270193,0.002132711694909084,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,0.707106781623834,0.2500000003092082,0.0021326740264993593,0.0015550969443332563,0.0021326740264993593,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,0.7071067814437771,0.2500000001818888,0.002132646802124827,0.0015550591303594707,0.002132646802124827,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1500,1500,False,0.707106781340832,0.2500000001090956,0.0021326268579686114,0.0015550314923344355,0.0021326268579686114,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1600,1600,False,0.7071067812807224,0.2500000000665917,0.002132612069893791,0.0015550110498216418,0.002132612069893791,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1700,1700,False,0.707106781244953,0.2500000000412989,0.002132600985450539,0.0015549957669064307,0.002132600985450539,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1800,1800,False,0.7071067812232988,0.2500000000259871,0.0021325925952184743,0.0015549842303069772,0.0021325925952184743,3.8805880337248615,-3.2823334040873693
cvar,250,20,3502125,0.5,0.5,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1900,1900,False,0.707106781209983,0.2500000000165714,0.0021325861874053054,0.0015549754447382602,0.0021325861874053054,3.8805880337248615,-3.2823334040873693
